radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,311,480,9728,86695948,0,-122.396659,37.793847,1000,40,1,1478900203,1505338656,0
LTE,311,480,9728,9900874,0,-122.405896,37.785726,1000,57,1,1478913961,1505961865,0
LTE,311,480,9731,9983235,0,-122.47673,37.727737,1000,3,1,1479027952,1487451216,0
LTE,311,480,9728,9900872,0,-122.405758,37.785716,1000,92,1,1479143204,1505962245,0
LTE,311,480,9728,9734680,0,-122.396311,37.786344,1000,77,1,1479181569,1558922193,0
LTE,311,480,9730,9894402,0,-122.42451,37.757739,1000,13,1,1479181569,1491675784,0
LTE,311,480,9728,9900626,0,-122.398142,37.791589,1000,19,1,1479182742,1505338574,0
LTE,311,480,9728,9900568,0,-122.393204,37.790087,1000,33,1,1479193590,1505351750,0
LTE,311,480,7683,84588556,0,-122.420473,37.641153,5777,5,1,1479260833,1505440421,0
LTE,311,480,7683,7706656,0,-122.488564,37.71227,4670,26,1,1479266688,1505968685,0
LTE,311,480,7683,7710486,0,-122.445236,37.621994,1000,5,1,1479349302,1492466025,0
LTE,311,480,7683,7706626,0,-122.485328,37.65667,1000,32,1,1458902642,1492364834,0
LTE,311,480,7683,7710496,0,-122.44194,37.618855,1000,7,1,1479349302,1492070005,0
LTE,311,480,7683,7706658,0,-122.481222,37.715561,4901,39,1,1479377312,1505968693,0
LTE,311,480,9728,9736216,0,-122.402163,37.777308,1000,71,1,1479440753,1492195919,0
LTE,311,480,9728,9736206,0,-122.397961,37.781258,1000,34,1,1479440753,1492187655,0
LTE,311,480,9730,9742882,0,-122.424043,37.732138,1000,93,1,1479503265,1492461848,0
LTE,311,480,9730,9742862,0,-122.437724,37.734993,1000,21,1,1479503264,1505926132,0
LTE,311,480,9728,86700638,0,-122.395877,37.791496,1000,6,1,1479530746,1505351697,0
LTE,311,480,9731,9851160,0,-122.471638,37.760926,1499,24,1,1479554757,1492254613,0
LTE,311,480,9728,86700636,0,-122.395533,37.792005,1000,13,1,1479794756,1505319566,0
LTE,311,480,7683,7706912,0,-122.469112,37.672772,1094,133,1,1479871745,1505838010,0
LTE,311,480,7683,7707394,0,-122.448685,37.644938,1000,86,1,1458902642,1505328370,0
LTE,311,480,7683,7707424,0,-122.454651,37.654579,2476,101,1,1479871745,1505837920,0
LTE,311,480,7683,7706914,0,-122.470124,37.672731,2407,81,1,1479871745,1505673899,0
LTE,311,480,7683,7706902,0,-122.464583,37.66267,1376,144,1,1479871745,1505837931,0
LTE,311,480,7683,7707414,0,-122.449074,37.64617,1542,99,1,1479871745,1505837868,0
LTE,311,480,7683,7706904,0,-122.463721,37.662223,2711,70,1,1479871745,1505708946,0
LTE,311,480,7683,7706894,0,-122.466461,37.673423,1000,69,1,1479871745,1492398984,0
LTE,311,480,7683,7706883,0,-122.472099,37.673001,1000,57,1,1458902642,1505673915,0
LTE,311,480,7683,7706882,0,-122.464858,37.662787,2275,67,1,1458902642,1505351631,0
LTE,311,480,7683,7706648,0,-122.490063,37.642479,2828,24,1,1479877374,1492254695,0
LTE,311,480,7683,7707395,0,-122.454628,37.653789,1000,46,1,1458902642,1492109469,0
LTE,311,480,7683,84596236,0,-122.390344,37.614539,1000,7,1,1479960746,1492002739,0
LTE,311,480,9728,9730850,0,-122.401085,37.796402,1000,4,1,1480650510,1491761413,0
LTE,311,480,9728,86699602,0,-122.399143,37.784027,1416,34,1,1480728786,1505436811,0
LTE,311,480,9728,9736226,0,-122.405548,37.781296,1000,32,1,1480729733,1492443718,0
LTE,311,480,9729,86685976,0,-122.418203,37.777896,1000,3,1,1480739159,1568684591,0
LTE,311,480,7705,9893134,0,-122.392502,37.768112,1000,5,1,1480829129,1481376880,0
LTE,311,480,9730,9742872,0,-122.430854,37.733732,1000,15,1,1480934271,1505926201,0
LTE,311,480,9728,9899604,0,-122.404888,37.78822,1000,6,1,1481327915,1505371806,0
LTE,311,480,9728,9900546,0,-122.395053,37.789887,1000,17,1,1481396821,1505882838,0
LTE,311,480,9728,9900558,0,-122.397259,37.792287,1000,16,1,1481609153,1506369247,0
LTE,311,480,9728,9900628,0,-122.39799499512,37.790908813477,1000,3,1,1481621158,1482358966,0
LTE,311,480,9728,86585632,0,-122.399849,37.788323,1000,38,1,1481862974,1572755625,0
LTE,311,480,9729,163483662,0,-122.412964,37.786652,1000,10,1,1481868416,1492110235,0
LTE,311,480,9728,86695950,0,-122.396504,37.793669,1000,11,1,1481985977,1505950359,0
LTE,311,480,9729,163483660,0,-122.412102,37.786958,1000,21,1,1481996815,1505415817,0
LTE,311,480,9731,9749774,0,-122.490998,37.786227,3221,4,1,1482005211,1505839580,0
LTE,311,480,9728,86585634,0,-122.399755,37.788052,1000,14,1,1482087974,1558922120,0
LTE,311,480,9728,86585624,0,-122.397043,37.789988,1000,11,1,1482087974,1558922144,0
LTE,311,480,7683,84596238,0,-122.392723,37.616168,1000,3,1,1482134765,1505415684,0
LTE,311,480,9729,9893132,0,-122.400314,37.766139,3970,20,1,1482188811,1505324729,0
LTE,311,480,9728,86585614,0,-122.398596,37.79054,1000,9,1,1482380735,1569742400,0
LTE,311,480,9728,9785601,0,-122.39827,37.790909,1000,5,1,1482386765,1487831686,0
LTE,311,480,9728,86585622,0,-122.397302,37.790356,1000,37,1,1482386765,1558336812,0
LTE,311,480,9728,86585612,0,-122.398601,37.790932,1000,31,1,1482386765,1558336796,0
LTE,311,480,9728,9736972,0,-122.406575,37.795947,1000,30,1,1482464777,1572149130,0
LTE,311,480,9728,86697230,0,-122.407752,37.789423,1000,20,1,1482630339,1505415204,0
LTE,311,480,7683,84588832,0,-122.449001,37.672008,2087,3,1,1482726319,1505268997,0
LTE,311,480,9728,86702348,0,-122.402323,37.783204,1000,23,1,1482825929,1505433637,0
LTE,311,480,9728,86669642,0,-122.408197,37.799149,1000,7,1,1482831974,1491832690,0
LTE,311,480,9731,9749794,0,-122.508673,37.75944,6803,18,1,1482948591,1505839139,0
LTE,311,480,7683,7790094,0,-122.384457,37.602304,2506,72,1,1483063673,1561602331,0
LTE,311,480,9728,86697228,0,-122.407021,37.789553,1000,38,1,1483065991,1505447529,0
LTE,311,480,9729,9882696,0,-122.410606,37.788607,500,120,1,1483139213,1563679038,0
